cod_ibge,funcionarios_2015,funcionarios_estatutarios_2015
1708254,237,212
1708304,215,153
1709005,453,377
1709302,835,518
1709500,2951,1436
1709807,180,131
1710508,311,205
1710706,343,239
1710904,197,125
1711100,226,142
1711506,257,143
1711803,153,103
1711902,524,306
1711951,220,170
1712009,371,166
1712157,137,60
1712405,189,91
1712454,200,104
1712504,358,295
1712702,NA,NA
1712801,210,187
1713205,558,477
1713304,523,355
1713601,339,260
1713700,213,101
1713809,239,124
1713957,257,162
1714203,NA,NA
1714302,237,142
1714880,532,241
1715002,176,137
1715101,238,186
1715150,142,52
1715259,171,121
1715507,166,69
1715705,372,170
1715754,394,226
1716109,1354,869
1716208,506,337
1716307,227,161
1716505,442,306
1716604,691,504
1716653,345,161
1716703,330,209
1717008,219,143
1717206,259,158
1717503,365,201
1717800,276,120
1717909,334,167
1718006,202,146
1718204,1776,1123
1718303,374,301
1718402,250,142
1718451,225,113
1718501,205,146
1718550,282,205
1718659,135,52
1718709,171,98
1718758,265,170
1718808,231,219
1718840,289,183
1718865,338,259
1718881,195,126
1718899,205,47
1718907,311,170
1719004,196,127
1720002,228,108
1720101,276,154
1720150,149,73
1720200,436,287
1720259,238,127
1720309,248,169
1720499,263,167
1720655,305,150
1720804,578,460
1720853,175,68
1720903,681,516
1720937,176,80
1720978,224,194
1721000,10100,8148
1721109,403,119
1721208,882,552
1721257,173,62
1721307,232,127
1722081,454,269
1722107,571,390
2100055,4270,2802
2100105,552,315
2100154,626,555
2100204,1093,728
2100303,1388,724
2100402,315,195
2100436,1520,210
2100477,1765,816
2100501,634,358
2100550,461,196
2100600,1986,1229
2100709,190,80
2100808,678,360
2100832,804,551
2100873,786,252
2100907,2377,1480
2100956,1637,908
2101004,1510,867
2101103,835,451
2101202,2312,1167
2101251,787,521
2101301,1163,890
2101350,321,167
2101400,3793,2966
2101509,688,372
2101608,4802,2299
2101707,2960,1374
2101731,553,505
2101772,1019,332
2101806,316,228
2101905,673,473
2101939,459,351
